PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
0.17979938570479037,0.4856498286977757,-0.22715337201428165,-0.09325585793223805,-0.2257129680134955,-0.07320709166977217,-0.20984711659386648,-0.12600172072312948,-0.2540817222634596,-0.6205661564859399
-0.22568166759801442,0.2466525798658975,0.07971077327347426,0.029908846277179657,-0.39131663129854144,0.6887875717765507,-0.39891671879670537,0.21080146770113117,0.11400047992475147,0.16190761204482218
0.016208870045335683,0.35052221286467455,0.6086305809992328,0.052467170257816234,0.04169355113979059,-0.28630514185625916,-0.20327994245322958,-0.03799200675895316,0.0561071393855302,0.32689371963375363
-0.25059166484409234,0.041759070446754525,0.6062771278690114,-0.0025211632215496197,0.06098817175225491,0.09320863839945175,0.10016463074866006,-0.38078380500358994,-0.3018456118714537,-0.2829385302351602
0.16627078942722134,0.29520789735435904,0.06348052443909565,0.3776410272517594,0.6868562137916132,0.22595291866698156,-0.0206612135366256,0.320377212261711,0.16500066701250163,-0.26306941202263945
0.41635123545075053,0.0006028600886171943,0.17097830841885173,-0.04665947271333085,-0.20752512321539526,-0.01775301699591716,0.07515425661154689,0.005942786762282169,0.5207936432509924,-0.11462021143060884
0.43578619954096043,-0.06860742253316901,0.18584113492546322,-0.06865125809196078,-0.13326650257718448,-0.026019905534129858,-0.0002194027156265467,-0.010414967328121843,0.24019135698104943,0.01456411816058537
-0.31972372520993664,0.10971659009451083,0.16755647653938355,-0.13965271667979492,-0.24548100043069937,-0.3726140293717145,0.20738315672968455,0.7098054403618986,0.05092120206520409,-0.23402182772314437
0.3344189139758933,-0.017016397184797177,0.1707350160192926,-0.06391944632122738,-0.10535272434924865,0.40772001338549496,0.5946982581804962,0.232741307820057,-0.41842697462176265,0.07403657557639495
-0.05736870250910094,0.537601507415503,-0.1388691311757043,-0.023587700833382373,-0.13671138514498082,0.014430431959984419,0.48016824625053217,-0.3323795309945544,0.3005373266881928,0.10098857358439484
0.024676566469460728,-0.09213187935282394,-0.013395590091631044,0.8979417134493409,-0.3845666095985471,-0.14482366191904167,0.0728588052161622,-0.030726748961053284,-0.0913220030700116,-0.02369698212541664
0.37983041575127713,-0.2244672649088703,0.19432833310627146,-0.08601656312054073,-0.13874835871415694,-0.0040573146368767556,-0.2877003340322212,0.02563517131905095,-0.11241725853619268,-0.20935868240586292
0.31709084074975336,0.3558448505017175,-0.14761746149505778,-0.017426191594999172,0.026004610129411743,-0.22634393121810498,-0.15518901478693736,0.14279893275571282,-0.4278671787524556,0.45207909217449455
4.363260702619732,2.297856935849528,1.4490519385575258,1.0328373668318223,0.8641347641180138,0.7593883080994748,0.6541171404964903,0.5205358688273029,0.31327896132179867,0.28732010609105185
0.3337284191251978,0.17575391773324614,0.11083220683897153,0.07899761328477657,0.06609422365413127,0.05808258475411189,0.050030812756506005,0.039813713743347,0.023961459017183013,0.0219759696529432
33.372842000000006,50.94823400000001,62.03145500000001,69.931216,76.540638,82.348896,87.35197699999999,91.33334799999999,93.72949399999999,95.92709099999999
